name,artist,id,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Why Georgia,John Mayer,1c7UYTut2SBOPq64o2t0uN,late afternoon,0.608,0.639,7,-7.205,1,0.0246,0.0208,5.94e-05,0.0893,0.369,96.915,268973,4
No Such Thing,John Mayer,6Vecwo7AHst9V2CE3kmwr0,late afternoon,0.668,0.739,4,-4.919,1,0.0308,0.0383,0.0,0.13,0.571,131.918,231467,4
Will You Return,The Avett Brothers,23E9NnOohQ0I6cMXFI7dtg,late afternoon,0.58,0.867,3,-4.881,1,0.0353,0.638,3.11e-05,0.0602,0.965,147.031,166347,4
Dog Days Are Over,Florence + The Machine,1YLJVmuzeM2YSUkCCaTNUB,late afternoon,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,251840,4
Janglin,Edward Sharpe & The Magnetic Zeros,4s3svkdgATNQ0w1hXPLK5a,late afternoon,0.578,0.688,6,-6.551,0,0.0541,0.632,5.98e-05,0.305,0.36,123.911,229600,4
40 Day Dream,Edward Sharpe & The Magnetic Zeros,3WBWgjyg6ew1Bq2sehB4is,late afternoon,0.573,0.656,2,-5.954,1,0.0562,0.228,0.0,0.0651,0.668,81.952,233587,4
Island In The Sun,Weezer,1IRZwD3r9VOehOR8rGeV3Y,late afternoon,0.647,0.805,4,-6.269,0,0.0279,0.00789,0.00211,0.168,0.707,114.638,200667,4
Walcott,Vampire Weekend,1Bw45KRmdKpX2pkIADDP0B,late afternoon,0.482,0.559,5,-5.454,1,0.0296,0.541,0.00273,0.223,0.597,80.777,221600,4
Campus,Vampire Weekend,7ui9Qq4JcPGcd3xWOeXhHp,late afternoon,0.524,0.709,7,-5.874,1,0.0632,0.224,0.193,0.0849,0.584,108.68,176467,3
Breezeblocks,alt-J,3n69hLUdIsSa1WlRmjMZlW,late afternoon,0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,227080,4
(If You're Wondering If I Want You To) I Want You To,Weezer,09aDV0TC2RfWFU5IwZfIdG,late afternoon,0.695,0.873,11,-5.722,0,0.0392,0.00163,0.000198,0.154,0.799,110.021,208773,4
Mr. Redundant,Rainbow Kitten Surprise,2yPiN3T8Z0YE4uovhPyaB3,late afternoon,0.837,0.308,0,-8.21,1,0.0482,0.783,0.0,0.0901,0.171,119.956,210417,4
All That and More (Sailboat),Rainbow Kitten Surprise,6vyFAHVKIsp3pdyhlOKMAz,late afternoon,0.455,0.525,7,-9.225,1,0.149,0.802,0.0,0.226,0.383,83.237,171025,4
Dani California,Red Hot Chili Peppers,10Nmj3JCNoMeBQ87uw5j8k,late afternoon,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,4
Under the Bridge,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,late afternoon,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4
Scar Tissue,Red Hot Chili Peppers,2QOMGq8wVTZbLmh7McrvgF,late afternoon,0.437,0.717,0,-4.803,1,0.039,0.0779,0.00274,0.108,0.547,178.085,215907,4
Chateau,Angus & Julia Stone,0JH1gKAAJHdV5dukJVyFPY,late afternoon,0.661,0.589,5,-11.217,1,0.0368,0.637,0.863,0.111,0.603,129.987,273533,4
The Look,Metronomy,3b4GWSS7QnzRKqH0mEYcFH,late afternoon,0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,277653,4
Angel,Shaggy,7xHsIaGEmiZunovi6oFtQz,late afternoon,0.802,0.77,6,-2.998,1,0.0925,0.143,0.0,0.0424,0.778,85.286,235133,4
It Wasn't Me,Shaggy,1Bt6TZfF8FSqdiHPN0vy4u,late afternoon,0.852,0.616,0,-4.728,1,0.0747,0.045,0.0,0.321,0.685,94.758,227600,4
I Stand Corrected,Vampire Weekend,506GZgVmpcbJL88PH4V4EL,~,0.68,0.641,7,-9.443,1,0.0963,0.291,0.418,0.174,0.143,160.01,159760,4
Don't Lie,Vampire Weekend,2H6rj2XaBUJnag8iS2uKCt,~,0.486,0.72,0,-7.132,1,0.0304,0.45,0.0,0.135,0.804,180.112,213413,4
Hannah Hunt,Vampire Weekend,3t87C08isN6yw2DnWOorLm,~,0.345,0.313,4,-10.098,1,0.0681,0.717,0.000822,0.1,0.164,207.969,237973,4
Hillside Song - Bonus Track,My Morning Jacket,6IkPkzTZy68VYvVUZFzGwI,~,0.43,0.143,7,-11.644,1,0.0405,0.812,1.44e-05,0.111,0.303,157.03,166607,4
Steam Engine,My Morning Jacket,5k7jxT2KaGZHRADFrc5n26,~,0.338,0.566,2,-9.792,1,0.0278,0.168,0.000726,0.313,0.452,145.716,446227,4
Daisy Mae,Leon Bridges,16yqV3N7JTMVrHEmvsU8sy,~,0.478,0.403,4,-7.87,0,0.0302,0.64,0.00156,0.0943,0.389,170.93,176053,3
River,Leon Bridges,3hhbDnFUb2bicI2df6VurK,~,0.679,0.185,8,-10.786,1,0.0441,0.668,0.0,0.146,0.181,128.18,240200,4
Sound & Color,Alabama Shakes,65wx71brAmEQz66GXXF8gI,~,0.547,0.43,2,-7.393,1,0.0667,0.848,0.613,0.0825,0.175,114.729,182467,4
Gimme All Your Love,Alabama Shakes,3Z9LAdAlhMWX6KrWW0DGNp,~,0.382,0.57,6,-5.261,0,0.044,0.218,0.194,0.316,0.188,100.754,243461,3
Nikes,Frank Ocean,1ZyjmRCQy5J11z5gqywVvP,~,0.631,0.396,8,-9.646,1,0.091,0.692,0.000238,0.109,0.129,137.989,314075,4
Ivy,Frank Ocean,6YJZMNLwxl7am5XZEr7eqY,~,0.572,0.385,0,-9.581,1,0.0372,0.789,0.000405,0.229,0.454,116.448,249191,4
Skyline To,Frank Ocean,3QXm6zLOV9DKgLxmwqsysO,~,0.417,0.294,5,-13.665,0,0.06,0.883,5.95e-06,0.104,0.382,127.709,184600,4
Nights,Frank Ocean,4Jle0Cjj88YkM7jbAjiFjf,~,0.457,0.553,5,-9.345,0,0.162,0.418,1.22e-06,0.113,0.448,89.905,307151,4
Seigfried,Frank Ocean,5SDmwAmdAtDG9kyGniVBKN,~,0.293,0.255,4,-11.155,0,0.0416,0.975,0.000248,0.101,0.363,170.565,334570,5
White Ferrari,Frank Ocean,4r9CtoTORnhgolvhslLdTx,~,0.445,0.0939,0,-15.585,1,0.0363,0.781,0.0,0.297,0.234,108.979,248808,4
Godspeed,Frank Ocean,25imCZNjiNFsyi7W4ihirs,~,0.389,0.0953,6,-12.561,1,0.0471,0.931,0.00015,0.126,0.0759,109.267,177922,4
Futura Free,Frank Ocean,4pYVWodACQYeaT9whQT2Bm,~,0.273,0.83,1,-9.794,1,0.547,0.785,8.73e-05,0.468,0.2,84.648,564166,4
Pyramids,Frank Ocean,4QhWbupniDd44EDtnh2bFJ,~,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920,4
Solo,Frank Ocean,1h33ETRG7JVDtGT7daBW5B,~,0.441,0.288,5,-10.627,0,0.0372,0.852,2.86e-06,0.161,0.247,126.403,257380,4
Self Control,Frank Ocean,5RRbTnSvlD5AUYsQ1Cizor,~,0.545,0.21,8,-10.43,1,0.0337,0.769,0.0,0.372,0.446,80.058,249668,4
Raspberry,Grouplove,1F5A4LpF8ylUVtPoMAvNvn,~,0.492,0.779,3,-5.022,1,0.0498,0.0292,0.0,0.129,0.445,104.966,196027,4
Frank's Track,Kanye West,22AKQl8KRIpVN6euIKbRFN,~,0.75,0.161,11,-7.089,1,0.0747,0.972,0.0,0.105,0.768,79.599,38333,4
Brown Skin Girl,Leon Bridges,6koowTu9pFHPEcZnACLKbK,~,0.62,0.342,7,-8.769,1,0.0383,0.564,4.25e-05,0.131,0.307,104.335,206587,4
River,Leon Bridges,0NeJjNlprGfZpeX2LQuN6c,~,0.658,0.179,8,-10.866,1,0.0448,0.689,0.0,0.17,0.191,128.128,238560,4
Here In My Arms,Leon Bridges,6squXSZ3rl7tENdZiOuIEj,~,0.555,0.414,1,-8.514,0,0.0261,0.608,0.00615,0.0969,0.673,73.64,126920,4
Undone - The Sweater Song,Weezer,6FxbwB6o1MKOy0dHvxNr2W,~,0.45,0.652,6,-5.541,1,0.0276,0.00556,0.000786,0.0933,0.514,80.128,304987,4
Endless Bummer,Weezer,7MsP6bRg4d7rnuZqaN0HnE,~,0.595,0.379,5,-10.067,0,0.0252,0.19,0.0,0.638,0.475,101.962,254720,4
Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,~,0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,305350,4
Analog 2,Odd Future,0d8ONGx43ZprlHlmLZODpD,~,0.599,0.673,1,-8.363,1,0.566,0.229,3.77e-05,0.066,0.262,148.044,276387,4
Pasadena (feat. Vic Mensa),Donnie Trumpet,1IfhjPjiTYrTFxyRlV5QRN,~,0.345,0.543,6,-10.707,0,0.0682,0.19,2.41e-06,0.187,0.343,114.291,187732,3
Angela,The Lumineers,5bodDpPolC3xlame0SVcDY,~,0.668,0.563,4,-8.23,1,0.0305,0.649,0.000347,0.11,0.289,130.366,201786,4
Real Love - Anthology 2 Version,The Beatles,5frMgt4jqRGJk3yMKfqOyl,~,0.375,0.694,8,-7.334,1,0.031,0.0458,0.019,0.257,0.405,175.726,234053,4
Blackbird - Remastered,The Beatles,4Z92RMiyJpUrApZi3LtpJ6,~,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,138387,4
Hero,Family of the Year,6GRDI9suQHikFP6euIXnpq,~,0.341,0.539,5,-5.76,1,0.0265,0.213,6.44e-05,0.109,0.267,174.564,190280,4
